ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
RLR corrigida;2013;3.316.677.152,68;5.067.512.768,94;9.602.552.677,64;3.175.080.566,55;20.222.703.562,85;12.453.115.641,74;13.508.884.334,30;10.018.452.468,22;11.901.184.361,35;8.839.083.899,86;37.160.198.058,84;6.151.686.555,68;8.240.087.550,81;12.856.583.429,91;6.342.360.147,35;14.196.141.586,13;0,00;23.057.499.026,29;40.992.776.661,89;6.812.493.795,55;4.395.823.877,06;2.129.434.128,94;22.006.914.443,94;14.796.007.349,54;5.246.850.200,10;106.764.768.877,26;4.877.328.625,79;;;;;;;;;;;;;;
Dívida Financeira/RLR;2013;0,94;1,84;0,50;0,72;0,66;0,58;0,22;0,52;1,45;0,49;2,34;1,32;0,70;0,26;0,35;0,82;#DIV/0!;0,67;1,98;0,23;0,55;0,85;2,36;0,97;0,56;2,02;0,41;;;;;;;;;;;;;;
Dívida Financeira/RLR corrigida;2013;0,91;1,78;0,49;0,70;0,64;0,56;0,22;0,50;1,41;0,48;2,27;1,28;0,68;0,25;0,34;0,79;#DIV/0!;0,65;1,93;0,22;0,53;0,83;2,29;0,94;0,54;1,96;0,39;;;;;;;;;;;;;;
DÍVITA TOTAL (Adm. Direta e Indireta);2014;3.531.637.172,62;9.703.064.613,49;5.779.712.464,46;2.483.028.270,11;14.696.636.431,31;9.168.003.710,31;3.375.878.062,67;5.972.014.284,54;17.580.245.401,36;5.791.212.596,77;89.288.995.639,04;8.155.736.451,15;6.493.240.933,60;3.615.020.381,02;4.219.267.608,73;13.305.180.454,90;3.102.818.558,78;16.878.592.166,18;89.861.032.281,92;1.475.006.780,35;2.408.264.072,52;1.792.156.305,65;54.775.725.803,33;15.956.179.335,39;2.865.594.449,84;222.442.515.774,43;2.479.752.835,41;;;;;;;;;;;;;;
1 - DÍVIDA FUNDADA - Adm. Direta;2014;3.386.907.728,97;9.703.064.613,49;5.778.487.276,12;631.802.905,35;14.696.636.431,31;7.845.736.035,91;3.251.137.016,71;5.941.113.862,51;17.550.907.989,54;5.172.486.827,64;89.288.995.639,04;8.155.736.451,15;6.302.690.111,91;3.526.994.455,93;2.707.956.128,13;12.990.408.806,43;3.102.818.558,78;16.580.433.013,82;89.242.476.338,01;1.472.904.254,10;2.386.101.456,89;1.787.785.342,40;54.775.725.803,33;15.952.336.176,27;2.865.594.449,84;221.293.106.878,16;2.289.986.869,97;;;;;;;;;;;;;;
1.1 -   Fundada Interna;2014;2.344.818.744,29;8.520.047.435,34;3.400.652.227,50;627.796.348,43;7.865.306.667,04;4.528.515.501,52;2.514.957.469,83;5.222.106.045,56;17.515.765.217,01;3.365.015.212,41;78.904.976.652,25;7.272.667.409,95;5.060.276.819,23;2.931.511.685,58;2.425.015.149,04;8.023.333.314,58;2.080.417.287,97;15.663.131.482,93;80.164.576.094,40;1.292.078.137,05;2.386.101.456,89;1.787.785.342,40;49.312.985.025,95;13.214.903.217,62;2.382.020.625,38;211.010.927.368,55;1.501.730.300,79;;;;;;;;;;;;;;
1.1.1 - Contratual;2014;2.344.818.744,29;8.520.047.435,34;3.400.652.227,50;627.796.348,43;7.865.306.667,04;4.528.515.501,52;2.514.957.469,83;5.222.106.045,56;17.515.765.217,01;3.365.015.212,41;78.904.976.652,25;7.272.667.409,95;5.060.276.819,23;2.931.511.685,58;2.425.015.149,04;8.023.333.314,58;2.080.417.287,97;15.663.131.482,93;80.164.576.094,40;1.292.078.137,05;2.386.101.456,89;1.787.785.342,40;49.312.985.025,95;13.214.903.217,62;2.382.020.625,38;211.010.927.368,55;1.501.730.300,79;;;;;;;;;;;;;;
1.1.1.1 - União;2014;2.344.818.744,29;8.520.047.435,34;3.400.652.227,50;627.796.348,43;7.865.306.667,04;4.528.515.501,52;2.514.957.469,83;4.898.480.222,63;17.515.765.217,01;3.365.015.212,41;78.833.239.238,97;7.272.667.409,95;5.060.276.819,23;2.931.511.685,58;2.425.015.149,04;8.023.333.314,58;2.080.299.192,54;12.171.317.763,79;79.034.244.681,18;1.291.579.724,45;2.383.598.378,94;1.787.785.342,40;49.312.985.025,95;13.174.940.168,42;2.373.758.202,80;211.010.927.368,55;1.498.330.300,79;;;;;;;;;;;;;;
1.1.1.1.1 - BIB;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.707.415.327,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.2 - BEA;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.3 - Clube de Paris;2014;0,00;0,00;0,00;0,00;640,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.4 - DMLP;2014;0,00;19.907.269,41;207.111.089,09;0,00;284.628.786,51;0,00;0,00;0,00;401.545.893,45;255.879.730,01;404.873.964,50;0,00;290.772.130,87;121.390.848,46;166.492.271,40;81.554.412,09;132.280.937,12;171.237.025,36;52.455.894,99;34.786.908,16;0,00;0,00;0,00;41.504.176,91;21.468.061,11;785.907.308,57;0,00;;;;;;;;;;;;;;
1.1.1.1.5 - Lei 7.976/89;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.287.721,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;2014;0,00;22.884.383,31;0,00;0,00;9.842.177,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;2014;19.880.852,35;272.344.765,60;21.328.266,53;0,00;24.258.202,10;31.062.308,98;0,00;0,00;568.128.534,30;1.029.946,80;925.967.956,44;18.016.026,30;46.906.703,65;145.356.536,75;0,00;0,00;195.091.158,56;81.363.884,81;286.692.849,96;0,00;103.614.099,95;194.069.729,20;91.463.553,28;306.981.356,00;42.803.464,40;468.608.680,32;81.376.928,22;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;2014;0,00;163.696.895,56;317.608.212,20;0,00;94.079.362,47;0,00;0,00;793.095.318,62;5.889.818.363,54;153.661.032,20;0,00;172.627.796,81;35.847.254,20;0,00;208.745.142,32;0,00;64.719.117,98;0,00;54.951.671,28;18.781.993,32;23.061.890,71;0,00;239.825.354,75;28.507.448,42;117.148.597,15;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.709.250.018,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;672.524.412,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.508.043.932,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;239.825.354,75;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;2014;0,00;163.696.895,56;317.608.212,20;0,00;94.079.362,47;0,00;0,00;793.095.318,62;0,00;153.661.032,20;0,00;172.627.796,81;35.847.254,20;0,00;208.745.142,32;0,00;64.719.117,98;0,00;54.951.671,28;18.781.993,32;23.061.890,71;0,00;0,00;28.507.448,42;117.148.597,15;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;2014;326.600.538,42;7.276.670.785,36;540.164.905,86;72.521.821,00;4.202.564.837,92;922.708.718,05;1.211.044.752,86;1.179.535.870,26;3.805.984.566,98;1.153.273.161,37;70.323.225.296,42;5.917.573.434,90;1.894.286.636,26;928.697.322,73;730.376.539,30;2.864.411.675,68;0,00;9.330.437.032,29;51.176.059.603,81;250.413.942,92;1.763.911.696,84;104.885.850,81;47.180.818.736,28;8.507.548.355,25;855.769.502,96;199.867.884.699,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;2014;34.736.216,42;5.131.618.113,59;15.610.083,56;0,00;1.257.019.582,71;0,00;1.211.044.752,86;550.636.068,83;3.435.211.298,93;422.055.496,48;50.582.245.599,05;5.917.573.434,90;1.467.827.949,30;616.849.417,69;730.376.539,30;2.864.411.675,68;0,00;869.208.354,88;51.176.059.603,81;0,00;301.096.766,88;12.591.153,95;36.823.526.961,99;3.584.700.908,47;756.691.619,25;199.867.884.699,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;628.899.801,43;0,00;0,00;110.161.189,83;0,00;0,00;311.847.905,04;0,00;0,00;0,00;0,00;0,00;250.413.942,92;0,00;0,00;841.515.326,75;0,00;99.077.883,71;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;2014;291.864.322,00;2.145.052.671,77;524.554.822,30;72.521.821,00;2.945.545.255,21;922.708.718,05;0,00;0,00;370.773.268,05;731.217.664,89;19.630.818.507,54;0,00;426.458.686,96;0,00;0,00;0,00;0,00;8.461.228.677,41;0,00;0,00;1.462.814.929,96;92.294.696,86;9.515.776.447,54;4.922.847.446,78;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2014;195.361.184,15;495.888.199,25;503.297.988,44;1.368.916,62;278.276.771,68;244.266.821,91;883.517.169,89;433.597.062,99;3.739.408.817,10;6.973.973,61;9.873.221,99;11.047.138,10;900.303.061,96;451.981.533,50;263.560.162,96;2.389.547.804,21;186.190.891,57;66.055.128,48;1.321.295.033,86;290.926.680,18;15.904.774,03;848.295.956,95;14.598.784,88;8.870.311,82;442.813.067,92;504.819.455,08;59.671.299,18;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2014;0,00;7.300.844,25;3.286.266,10;0,00;69.125.282,03;50.052.820,55;0,00;392.533.412,61;168.180.384,99;4.177.971,74;22.468.064,74;76.029.550,79;4.607.931,08;0,00;0,00;0,00;0,00;1.311.481.113,32;653.249.211,25;69.148.976,48;0,00;3.159.675,24;0,00;259.389.643,85;65.088.760,21;0,00;18.544.947,13;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2014;136.384.166,76;0,00;975.070.000,00;271.464.661,14;670.065.693,42;834.880.700,64;0,00;0,00;1.349.222.713,92;0,00;5.184.126.073,51;0,00;747.966.209,64;166.259.873,72;0,00;0,00;377.684.250,80;688.000.000,00;8.017.144.410,08;279.848.479,23;0,00;469.136.625,00;785.018.812,50;792.074.586,54;28.461.984,59;4.179.184.791,02;453.295.327,48;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2014;1.666.592.002,61;249.200.259,27;832.785.499,28;282.440.949,67;2.016.829.086,15;2.262.319.290,36;396.647.540,32;2.099.718.558,15;1.460.416.043,28;1.766.070.035,91;1.910.702.418,67;1.077.373.463,05;1.129.343.519,69;1.024.251.331,55;1.045.299.799,27;2.516.500.040,26;879.344.121,51;522.743.579,53;4.764.980.678,54;287.554.100,15;477.105.917,41;0,00;1.001.259.784,26;3.112.990.418,12;775.660.741,51;5.204.522.434,56;884.933.569,12;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2014;0,00;5.375.023,70;0,00;0,00;148.839.640,98;183.224.841,03;0,00;0,00;0,00;23.726.717,09;52.002.242,70;0,00;0,00;93.574.238,87;10.541.233,79;171.319.382,34;204.253.933,01;0,00;0,00;60.118.644,01;0,00;0,00;0,00;0,00;24.544.022,95;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2014;0,00;6.779.009,63;0,00;0,00;66.796.185,72;0,00;23.748.006,76;0,00;120.772.177,92;222.643,68;0,00;0,00;10.243.371,88;0,00;0,00;0,00;40.734.781,99;0,00;0,00;0,00;0,00;168.237.505,20;0,00;117.073.871,51;0,00;0,00;508.229,66;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;323.625.822,93;0,00;0,00;71.737.413,28;0,00;0,00;0,00;0,00;0,00;118.095,43;3.491.813.719,14;1.130.331.413,22;498.412,60;2.503.077,95;0,00;0,00;39.963.049,20;8.262.422,58;0,00;3.400.000,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.147.705.946,45;1.050.000.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;323.625.822,93;0,00;0,00;71.737.413,28;0,00;0,00;0,00;0,00;0,00;118.095,43;1.344.107.772,69;80.331.413,22;498.412,60;2.503.077,95;0,00;0,00;39.963.049,20;8.262.422,58;0,00;3.400.000,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2014;1.042.088.984,68;1.183.017.178,15;2.377.835.048,62;4.006.556,92;6.831.329.764,27;3.317.220.534,39;736.179.546,88;719.007.816,95;35.142.772,53;1.807.471.615,23;10.384.018.986,79;883.069.041,20;1.242.413.292,68;595.482.770,35;282.940.979,09;4.967.075.491,85;1.022.401.270,81;917.301.530,89;9.077.900.243,61;180.826.117,05;0,00;0,00;5.462.740.777,38;2.737.432.958,65;483.573.824,46;10.282.179.509,61;788.256.569,18;;;;;;;;;;;;;;
1.2.1 - Contratual;2014;1.042.088.984,68;1.183.017.178,15;2.377.835.048,62;4.006.556,92;6.831.329.764,27;3.317.220.534,39;736.179.546,88;719.007.816,95;35.142.772,53;1.807.471.615,23;10.384.018.986,79;883.069.041,20;1.242.413.292,68;595.482.770,35;282.940.979,09;4.967.075.491,85;1.022.401.270,81;917.301.530,89;9.073.825.095,35;180.826.117,05;0,00;0,00;5.462.740.777,38;2.737.432.958,65;483.573.824,46;10.282.179.509,61;788.256.569,18;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2014;0,00;0,00;0,00;0,00;0,00;134.572.498,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2014;0,00;0,00;11,81;0,00;0,00;1.445.003,29;0,00;0,00;0,00;0,00;34.145.635,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2014;1.042.088.984,68;1.183.017.178,15;2.377.835.036,81;4.006.556,92;6.831.329.764,27;3.181.203.032,88;736.179.546,88;719.007.816,95;35.142.772,53;1.807.471.615,23;10.349.873.351,42;883.069.041,20;1.242.413.292,68;595.482.770,35;282.940.979,09;4.967.075.491,85;1.022.401.270,81;917.301.530,89;9.073.825.095,35;180.826.117,05;0,00;0,00;5.462.740.777,38;2.737.432.958,65;483.573.824,46;10.282.179.509,61;788.256.569,18;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.075.148,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.075.148,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2014;0,00;0,00;0,00;0,00;0,00;647.533.374,25;0,00;0,00;0,00;618.725.769,13;0,00;0,00;0,00;0,00;1.293.278.524,13;0,00;0,00;0,00;493.631.977,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;189.765.965,44;;;;;;;;;;;;;;
2.1 - Empreiteiros;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;2014;0,00;0,00;0,00;0,00;0,00;647.533.374,25;0,00;0,00;0,00;543.147.862,13;0,00;0,00;0,00;0,00;1.293.278.524,13;0,00;0,00;0,00;493.631.977,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;189.765.965,44;;;;;;;;;;;;;;
2.10 - Outras;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75.577.907,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;2014;3.386.907.728,97;9.703.064.613,49;5.778.487.276,12;631.802.905,35;14.696.636.431,31;8.493.269.410,16;3.251.137.016,71;5.941.113.862,51;17.550.907.989,54;5.791.212.596,77;89.288.995.639,04;8.155.736.451,15;6.302.690.111,91;3.526.994.455,93;4.001.234.652,26;12.990.408.806,43;3.102.818.558,78;16.580.433.013,82;89.736.108.315,01;1.472.904.254,10;2.386.101.456,89;1.787.785.342,40;54.775.725.803,33;15.952.336.176,27;2.865.594.449,84;221.293.106.878,16;2.479.752.835,41;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;2014;144.729.443,65;0,00;1.225.188,34;1.851.225.364,76;0,00;674.734.300,15;124.741.045,96;30.900.422,03;29.337.411,82;0,00;0,00;0,00;190.550.821,69;88.025.925,09;218.032.956,47;314.771.648,47;0,00;298.159.152,36;124.923.966,91;2.102.526,25;22.162.615,63;4.370.963,25;0,00;3.843.159,12;0,00;1.149.408.896,27;0,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;2014;144.729.443,65;0,00;1.225.188,34;1.851.225.364,76;0,00;674.734.300,15;124.741.045,96;30.900.422,03;29.337.411,82;0,00;0,00;0,00;190.550.821,69;88.025.925,09;218.032.956,47;314.771.648,47;0,00;298.159.152,36;124.923.966,91;2.102.526,25;22.162.615,63;4.370.963,25;0,00;3.843.159,12;0,00;793.441.951,43;0,00;;;;;;;;;;;;;;
3.1.1 - Contratual;2014;144.729.443,65;0,00;1.225.188,34;1.851.225.364,76;0,00;674.734.300,15;124.741.045,96;30.900.422,03;29.337.411,82;0,00;0,00;0,00;190.550.821,69;88.025.925,09;218.032.956,47;314.771.648,47;0,00;298.159.152,36;124.923.966,91;2.102.526,25;22.162.615,63;4.370.963,25;0,00;3.843.159,12;0,00;793.441.951,43;0,00;;;;;;;;;;;;;;
3.1.1.1 - União;2014;144.729.443,65;0,00;1.225.188,34;842.684.005,24;0,00;674.734.300,15;124.741.045,96;4.631.501,84;29.337.411,82;0,00;0,00;0,00;190.550.821,69;87.293.786,87;7.874.852,01;314.771.648,47;0,00;298.159.152,36;64.230.079,62;2.102.526,25;22.162.615,63;4.370.963,25;0,00;3.843.159,12;0,00;793.441.951,43;0,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52.302.714,09;0,00;0,00;0,00;0,00;44.943.943,26;0,00;22.162.615,63;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;2014;2.584.382,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.948.047,84;0,00;0,00;0,00;2.208.871,04;699.965,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;2014;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;2014;71.473.916,28;0,00;0,00;19.733.961,31;0,00;5.908.517,08;47.299.965,47;2.141.241,42;22.389.363,98;0,00;0,00;0,00;0,00;3.895.196,65;1.478.970,46;32.561.499,97;0,00;0,00;19.178.770,20;0,00;0,00;0,00;0,00;2.942.044,40;0,00;793.441.951,43;0,00;;;;;;;;;;;;;;
